Model,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Sales_Volume,Sales_Classification,Car_Age
M3,Middle East,White,Diesel,Automatic,2.5,52408,1198,Low,6
X1,Asia,Grey,Electric,Manual,1.7,106883,3828,Low,4
7 Series,Middle East,Red,Hybrid,Automatic,3.8,96022,2372,Low,3
5 Series,Asia,White,Electric,Automatic,3.9,44503,1583,Low,8
M5,Asia,Black,Electric,Automatic,2.3,25311,4515,Low,10
X1,Middle East,Silver,Electric,Manual,4.3,48293,8633,High,9
5 Series,Asia,White,Diesel,Manual,2.3,114721,3630,Low,13
X6,North America,Grey,Hybrid,Manual,4.3,93335,5811,Low,6
5 Series,South America,Black,Petrol,Automatic,3.8,159039,4136,Low,0
i8,Africa,Red,Electric,Automatic,2.7,35742,5609,Low,6
5 Series,Africa,Black,Electric,Automatic,2.2,73574,7679,High,7
X3,Africa,Red,Electric,Automatic,2.1,145221,6251,Low,1
X1,Asia,White,Electric,Manual,1.6,112853,5630,Low,4
X6,Middle East,Grey,Hybrid,Manual,4.1,146822,7071,High,10
5 Series,Middle East,Black,Electric,Manual,2.9,123557,8263,High,13
7 Series,Asia,Black,Diesel,Manual,2.1,87386,3905,Low,14
i8,South America,Silver,Electric,Manual,4.5,89836,6384,Low,10
X6,Asia,Red,Electric,Automatic,1.9,67179,4362,Low,10
X6,Asia,White,Electric,Automatic,3.4,104080,6664,Low,6
X5,Africa,Black,Petrol,Automatic,2.9,199569,7633,High,7
M3,South America,Black,Hybrid,Manual,2.9,127416,3381,Low,12
i3,Africa,White,Electric,Manual,2.0,145910,1366,Low,1
X5,Europe,Red,Hybrid,Manual,4.4,176367,9441,High,9
3 Series,Europe,Red,Petrol,Manual,4.4,99246,1531,Low,0
X1,Europe,Red,Hybrid,Manual,2.4,9088,5971,Low,11
X6,Middle East,Silver,Electric,Automatic,2.5,11118,3456,Low,7
3 Series,Europe,Red,Electric,Manual,2.9,65339,4612,Low,14
7 Series,Middle East,Grey,Petrol,Manual,2.2,37027,2791,Low,13
5 Series,Europe,Grey,Diesel,Automatic,2.6,135249,2549,Low,6
7 Series,North America,Grey,Diesel,Manual,2.8,13487,6462,Low,13
X6,Asia,Red,Electric,Manual,1.7,78887,5567,Low,10
5 Series,Asia,White,Electric,Manual,4.0,141628,1285,Low,1
M3,Middle East,Red,Petrol,Automatic,2.9,161891,4747,Low,0
i3,Europe,Silver,Electric,Manual,2.9,26204,6266,Low,6
X6,Asia,White,Petrol,Manual,3.0,54523,3178,Low,0
X1,Middle East,Black,Diesel,Automatic,3.6,96796,509,Low,8
